61;75;62;62
72;75;75;58
62;77;42;47
53;53;72;48
78;41;62;54
64;49;52;41
72;47;76;70
74;65;63;51
67;53;62;53
59;62;63;49
49;48;80;64
57;72;60;58
44;52;80;75
76;76;42;64
71;50;77;61
63;45;61;67
71;71;78;80
69;71;46;63
65;47;64;78
67;58;79;52
80;47;70;68
76;69;65;69
67;56;49;68
47;41;48;46
59;43;53;45
62;56;53;45
74;43;61;68
53;75;44;62
76;43;47;62
45;72;63;76
50;70;60;41
43;77;50;69
61;51;52;61
75;58;75;46
45;43;73;51
79;52;58;77
69;56;78;43
62;78;45;75
75;47;54;47
72;74;59;75
50;58;41;52
57;72;63;67
56;40;44;61
80;43;66;40
64;42;79;69
55;58;49;54
56;62;80;80
72;67;40;40
45;49;59;47
73;71;67;57
54;40;70;62
65;70;69;66
59;56;80;47
44;66;75;66
61;76;47;68
55;46;58;70
57;70;43;76
61;47;54;77
53;76;73;65
69;49;70;67
51;49;70;47
78;68;51;76
70;49;71;79
54;42;65;66
61;43;75;71
74;47;57;55
51;64;64;47
75;57;78;49
72;68;78;78
44;60;74;74
74;44;45;57
51;49;67;50
43;72;64;42
73;48;69;58
40;67;74;71
59;73;46;63
74;51;68;65
49;56;42;52
75;53;71;79
74;77;59;48
72;47;67;61
47;40;49;40
72;80;76;40
78;49;64;56
60;75;63;59
66;68;63;67
64;73;78;52
71;75;69;69
50;52;59;50
47;54;66;43
71;64;79;60
47;66;49;43
46;43;52;54
67;47;52;46
41;65;79;53
41;74;41;75
64;54;68;56
71;73;45;62
73;79;66;52
42;54;71;63
68;74;61;55
68;52;75;40
50;79;56;71
70;69;74;60
49;74;78;69
64;67;76;66
75;79;44;58
40;54;80;71
50;75;55;54
48;74;76;45
41;40;63;80
49;61;47;71
67;50;56;51
68;60;62;73
65;46;79;73
41;75;79;52
52;55;52;55
42;50;76;67
73;51;63;66
41;54;71;57
68;40;63;79
74;74;56;79
59;80;47;69
58;55;69;48
63;58;54;52
59;57;68;47
50;52;61;54
67;61;61;57
49;43;43;56
41;56;44;51
48;63;68;46
64;71;43;48
42;62;46;78
75;42;47;48
79;53;70;49
71;75;65;66
59;52;67;66
41;45;55;64
62;49;79;57
71;49;63;40
80;61;43;57
52;61;62;58
72;43;69;53
68;69;69;47
44;42;67;64
64;61;67;75
51;49;50;55
73;79;66;53
68;41;73;71
62;78;58;53
76;54;68;61
69;61;55;68
44;44;53;43
56;41;56;53
58;79;44;48
47;49;56;43
65;52;79;75
70;75;42;69
56;52;60;53
67;65;63;68
73;47;76;80
62;46;49;54
59;49;67;76
61;53;49;40
49;78;43;65
47;61;44;50
52;65;65;56
68;54;60;64
53;46;74;69
54;68;68;54
64;73;68;71
70;51;58;42
47;63;46;67
76;42;49;41
76;48;77;61
42;40;46;60
62;47;40;46
57;44;63;52
49;74;46;73
62;68;43;62
75;41;67;59
78;46;75;78
40;56;61;42
51;42;76;78
41;74;58;61
76;40;54;63
65;77;40;65
72;55;40;63
60;42;76;72
73;61;76;56
71;71;70;74
54;68;53;79
74;66;67;56
61;48;59;45
61;54;59;77
48;42;66;52
48;40;48;71
59;64;80;52
65;46;58;73
61;65;55;57
43;66;62;43
46;48;49;56
46;62;50;50
47;65;56;43
80;77;54;52
42;49;47;48
58;50;75;71
55;53;66;57
63;78;61;75
40;40;65;56
56;63;40;76
42;73;63;58
70;68;57;74
64;67;73;57
66;52;55;77
45;71;62;57
67;73;46;51
55;62;79;43
45;60;64;78
43;40;55;67
73;42;46;66
68;47;75;78
47;78;57;69
44;69;46;65
55;72;40;40
57;65;58;52
42;76;70;70
41;71;41;45
44;63;75;54
43;77;74;45
58;55;56;67
50;64;42;60
61;74;80;67
47;75;72;71
72;75;50;69
73;73;48;62
79;42;62;48
61;71;76;68
41;65;80;44
69;41;64;43
53;73;69;44
71;49;71;54
69;51;42;76
77;61;76;55
56;54;66;46
70;71;76;52
66;74;71;75
49;42;42;71
69;77;50;55
51;79;43;73
45;76;42;41
65;58;56;70
50;47;58;51
44;70;70;65
56;68;73;63
52;74;79;53
47;56;67;51
80;40;40;64
75;70;41;48
69;67;56;60
72;52;75;58
74;67;50;69
49;47;48;51
52;48;66;50
68;60;46;53
42;76;42;44
61;67;67;62
53;59;65;64
75;72;46;69
40;74;42;79
65;46;49;78
42;64;65;42
77;70;64;53
69;60;68;53
46;79;44;70
76;60;79;73
59;67;74;69
49;70;80;62
46;74;68;45
64;68;63;41
74;60;48;46
57;66;42;59
43;78;57;78
60;44;53;73
41;48;72;71
75;44;41;46
76;78;44;55
59;59;52;45
